submitted_at,incident_type,location,severity,description,media_type,media_path,department,status,acknowledged,latest_update,qid
2026-08-01 08:30:00,Community Services,Community Services Zone 1,1,Neighbor fence is damaged and affecting access to a shared driveway.,photo,community_services_1.png,Community Services,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 08:47:00,Community Services,Community Services Zone 2,2,A community complaint about unmaintained landscaping in a housing area.,video,community_services_2.png,Community Services,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 09:04:00,Community Services,Community Services Zone 3,3,Children's play equipment is unsafe in a local park.,photo,community_services_3.png,Community Services,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 09:21:00,Community Services,Community Services Zone 4,4,Blocked garbage collection route is causing neighborhood concerns.,video,community_services_4.png,Community Services,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 09:38:00,Community Services,Community Services Zone 5,1,Noise from construction work is affecting nearby residents late at night.,photo,community_services_5.png,Community Services,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 08:30:00,Fire & Rescue,Fire & Rescue Zone 1,1,Smoke odor reported from a warehouse unit near a business district.,photo,fire_&_rescue_1.png,Fire & Rescue,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 08:47:00,Fire & Rescue,Fire & Rescue Zone 2,2,Chemical smell detected near a maintenance room in a building.,video,fire_&_rescue_2.png,Fire & Rescue,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 09:04:00,Fire & Rescue,Fire & Rescue Zone 3,3,Fire extinguisher cabinet is damaged and needs inspection.,photo,fire_&_rescue_3.png,Fire & Rescue,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 09:21:00,Fire & Rescue,Fire & Rescue Zone 4,4,Vehicle fire alarm triggered near a busy service road.,video,fire_&_rescue_4.png,Fire & Rescue,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 09:38:00,Fire & Rescue,Fire & Rescue Zone 5,1,Cooking fire reported in a small apartment kitchen.,photo,fire_&_rescue_5.png,Fire & Rescue,Created,False,Complaint created and awaiting department review.,1234567
